"","tf"
"좋다",20
"웃기다",6
"재미있",6
"웃다",3
"웃음",3
"좋아",3
"무서",2
"미치다",2
"보고싶다",2
"사랑하",2
"좋아하다",2
"기쁘다",1
"불쌍",1
"아쉬",1
"즐겁다",1
"행복",1
