"","tf"
"사랑",74
"사람",30
"그대",25
"다시보기",13
"love",9
"노래",8
"더욱",8
"떠나다",8
"못하다",8
"싶다",8
"baby",7
"슬프다",7
"행복",7
"그말",6
"그사람",6
"나르다",6
"마음",6
"많다",6
"고맙다",5
"그립다",5
"널다",5
"당신",5
"아끼다",5
"아니다",5
"언제",5
"영원",5
"원하다",5
"정말",5
"주님",5
"주다",5
"하지",5
"향하다",5
"힘들다",5
"그녀",4
"깊어져",4
"깊어져만",4
"나도",4
"내맘",4
"너르다",4
"눈물",4
"다르다",4
"멀다",4
"생각",4
"이기적",4
"잊다",4
"제일",4
"커져가네",4
"하루",4
"희생",4
"beauties",3
"kiss",3
"visions",3
"거다",3
"그녀를",3
"그댈",3
"그때",3
"그리다",3
"기억",3
"김현식",3
"노랗다",3
"누다",3
"머물다",3
"모두",3
"모르다",3
"빠지다",3
"서다",3
"세상",3
"아름답다",3
"아무",3
"안다",3
"안되다",3
"울다",3
"이소연",3
"있다는것",3
"잠시",3
"좋다",3
"지키다",3
"차다",3
"찾다",3
"처음",3
"필요",3
"하늘",3
"가슴",2
"갈망",2
"감다",2
"감동",2
"걸다",2
"결혼",2
"관심",2
"그것",2
"그게",2
"그녈",2
"그댄",2
"그렇다",2
"그사람이",2
"기대",2
"꿈이죠",2
"나만의사랑빛",2
"나중",2
"남자",2
"내곁엔",2
"내마음",2
"내맘이",2
"내심장",2
"누가",2
"누군가",2
"늘다",2
"늦다",2
"닥본사",2
"당신이",2
"둘이",2
"듣다",2
"들어보다",2
"떠나가다",2
"만나다",2
"멀리",2
"몰다",2
"물론",2
"믿다",2
"바라다",2
"바라보다",2
"발롱펌",2
"버리다",2
"보내다",2
"보지",2
"부르다",2
"상황",2
"생기다",2
"생일",2
"서글프다",2
"선물",2
"소중",2
"시간",2
"시작",2
"아무도",2
"안녕",2
"어깨",2
"어디",2
"언제까지",2
"언제나",2
"얼굴",2
"없을만큼",2
"여인",2
"예쁘다",2
"오직",2
"욕심",2
"우리",2
"우린",2
"웃다",2
"웃음",2
"워우우",2
"워우워우",2
"위하다",2
"위해",2
"의지",2
"이상형",2
"이순",2
"있죠",2
"자기",2
"자꾸",2
"자주",2
"잠들다",2
"존재",2
"줄수",2
"지나가다",2
"지다",2
"진리",2
"축하",2
"친구",2
"친손자",2
"토렌트",2
"평생",2
"학창시절",2
"한번",2
"향기",2
"헤어지다",2
"ballad",1
"bmk",1
"boo",1
"brown",1
"december",1
"don",1
"eyed",1
"forever",1
"gone",1
"ll",1
"mc몽",1
"ow",1
"re",1
"sbs",1
"sbs드라마",1
"soul",1
"stand",1
"tagquestiontagsmile",1
"tagquestion투",1
"tell",1
"video",1
"가끔가",1
"가끔가다",1
"가끔씩",1
"가끔씩은",1
"가는데약속",1
"가득",1
"가득차다",1
"가리",1
"가리다",1
"가만하다",1
"가보",1
"가을",1
"가지",1
"갈다",1
"갈등",1
"갈수",1
"감성적",1
"감싸다",1
"개다",1
"거듭될",1
"걷다",1
"검색어",1
"것들",1
"겹다",1
"곁에",1
"곁에두",1
"곁에두고",1
"계기",1
"계속",1
"계절처럼돌고돌",1
"고다",1
"고마워",1
"고마워하",1
"고맙습니다사랑",1
"고백한번",1
"고백해선",1
"공주",1
"과분",1
"괜찮다",1
"그건",1
"그곳",1
"그곳으",1
"그녀는",1
"그니깐아프지말고오래도록내곁에잇",1
"그대때문",1
"그대를사랑해요달링",1
"그대생각",1
"그대생각이",1
"그대아직",1
"그럼",1
"그리",1
"그리도",1
"그몸",1
"그사람때문",1
"그사람때문에",1
"그와",1
"그와같",1
"그의곁",1
"그의곁에",1
"그의생각",1
"그의집앞",1
"그의집앞을",1
"그중",1
"그중에",1
"그치",1
"그치만",1
"그형",1
"급상승",1
"기대다",1
"기대서다",1
"기도",1
"기도해주",1
"기분",1
"기억이안",1
"기자간담회소식",1
"길은왜",1
"깨어",1
"깨어난듯",1
"꺼예",1
"꺼예요",1
"꼬륵꼬륵",1
"꾸다",1
"꿈꾸다",1
"끝사",1
"끝사랑",1
"끼어들다",1
"나또",1
"나또한",1
"나설꺼예",1
"나설꺼예요",1
"나아지다",1
"나타나다",1
"나한테",1
"난널사랑",1
"날두고다신내곁을떠나지않는다고제발",1
"날이당신",1
"날이당신의",1
"남기다",1
"낯설다",1
"내가살고",1
"내겐",1
"내곁에ost",1
"내곁을",1
"내꿈",1
"내꿈의",1
"내리는것",1
"내리다",1
"내마음은",1
"내맘가득",1
"내맘속깊은곳에서반짝거리",1
"내맘은",1
"내맘을",1
"내밀다",1
"내사랑내곁에내사랑내곁",1
"내손",1
"내손을",1
"내용보기",1
"내인생",1
"냄새",1
"너또한그마음이예전과같다면",1
"너만보",1
"너만보여",1
"너없이는못살아",1
"너에겐",1
"네이버",1
"노래속",1
"노래이기",1
"녹다",1
"놓을수",1
"놓을수가",1
"놓지말아",1
"놓지말아요",1
"누군가가",1
"누군가의",1
"누나",1
"누나인게",1
"눈물흘린적",1
"눈빛",1
"는달링",1
"늦게",1
"니가내곁으로올까",1
"다가서다",1
"다니다",1
"다른누군가",1
"다른사람",1
"다시꽃피",1
"다시꽃피는봄이오면",1
"다시다",1
"다시돌아올까",1
"다시보기내사",1
"다시보기내사랑",1
"다알게",1
"다투기",1
"다투기만",1
"다할수",1
"다행",1
"닥치고본방사수",1
"단발머리이소연머리",1
"단지",1
"달다",1
"달라는말",1
"달린듯",1
"달콤",1
"담배",1
"담임",1
"당신과",1
"당신땜",1
"당신땜에",1
"당신을",1
"대하다",1
"대해",1
"더더욱",1
"더불다",1
"덕분",1
"덤앤더머",1
"덮어주다",1
"도미솔",1
"돌고",1
"돌던",1
"돌아가다",1
"돌아오다",1
"돌이켜보다",1
"동영",1
"두근대다",1
"두근두근",1
"두글자",1
"두글자가",1
"두다",1
"둘이서",1
"들어서다",1
"따르다",1
"따스",1
"딴에",1
"떠나간거",1
"떠나간거에",1
"떨리다",1
"또한",1
"뜨겁다",1
"뜨악",1
"라도",1
"링크그런날",1
"링크그런날에",1
"마다다",1
"마음표현",1
"마주치다",1
"마지막",1
"마치",1
"막장",1
"만나지말아야지",1
"만큼",1
