"","tf"
"우리집여자",48
"여자",30
"다시보기",29
"무료",18
"닥본사",10
"토도우",9
"강아지",7
"공부",6
"남자",6
"방송",6
"우리",6
"닥치고본방사수",5
"별점",5
"보기",5
"엄마",5
"힘내다",5
"맞다",4
"아니다",4
"안되다",4
"애들",4
"울다",4
"힘들다",4
"그러게",3
"그르다",3
"나도",3
"마성",3
"벌다",3
"좋다",3
"진짜",3
"화이팅",3
