mbc_gyebaek,계백,KO,open,drama,MBC,"역사는 승자의 기록이라는 구태의연한 표현은 차치하고라도, 오늘날 청...",http://tv03.search.naver.net/nhnsvc?quality=8&size=190x150&q=http://sstatic.naver.net/keypage/image/contents/148/148286.jpg,"MON,TUE","MBC (월, 화) 오후 09:55~ 방송중 (총 36부작)",21:55,,,"계백+이서진, 의자왕+조재현, 사택비+오연수, 은고+송지효, 무진+차인표, 교기+진태현","계백문전사, 크리에이티브 프로덕션, 커튼콜미디어","연출 김근홍, 정대윤 | 극본 정형수",http://www.imbc.com/broad/tv/drama/gyebaek/,"계백, 이서진+조재현, 의자왕, 사택비, 사택비+오연수, 은고+송지효, 무진+차인표, 교기+진태현","계백 mbc:2, 계백 드라마:2, 계백 tv:2, 계백 이서진:1, 계백 조재현:1, 계백 오연수:1, 계백 사택비:1, 계백 송지효:1"
mbc_sundaynight_house,우리들의 일밤 - 내 집 장만 토너먼트 : 집드림,KO,exclude,entertain,MBC,우리들의 일밤 - 내 집 장만 토너먼트 : 집드림,http://tv03.search.naver.net/nhnsvc?quality=8&size=200x150&q=http://sstatic.naver.net/keypage/image/contents/147/147335.jpg,SUN,MBC (일) 오후 05:20~ 방송중,17:20,,임성훈,,,"기획 원만식 | 연출 신정수, 김유곤, 이병혁, 김준현, 김민종, 조준",http://www.imbc.com/broad/tv/ent/sundaynight,"내 집 장만 토너먼트, 일밤+집드림, 일밤+임성훈",
mbc_sundaynight_nagasoo,우리들의 일밤 - 서바이블 나는 가수다,KO,open,entertain,MBC,우리들의 일밤 - 서바이블 나는 가수다,http://tv03.search.naver.net/nhnsvc?quality=8&size=200x150&q=http://sstatic.naver.net/keypage/image/contents/152/152321.jpg,SUN,MBC (일) 오후 05:20~ 방송중,17:20,,"윤종신, 윤도현","인순이, 자우림, 조관우, 김범수, 박정현, 김조한, 바비킴, 윤민수, 장혜진, 김연우, 김건모, 옥주현, 백지영, 이소라, 임재범, 정엽, BMK, JK김동욱",,"기획 원만식 | 연출 신정수, 김유곤, 이병혁, 김준현, 김민종, 조준",http://www.imbc.com/broad/tv/ent/sundaynight,"서바이블 나는 가수다, 나는 가수다, 나가수, 일밤+윤종신, 일밤+윤도현","@imasinger_mbc:3, 우리들의 일밤:3, 나는 가수다:3, 나가수:3"
mbc_thousand,천 번의 입맞춤,KO,open,drama,MBC,한 이혼여성이 시련을 극복하며 성공하는 패자부활전을 그린 드라마,http://tv03.search.naver.net/nhnsvc?quality=8&size=190x150&q=http://sstatic.naver.net/keypage/image/contents/151/151423.jpg,"SAT,SUN","MBC (토, 일) 오후 08:40~ 방송중 (총 50부작)",20:40,,,"우주영+서영희, 장우빈+지현우, 장우진+류진, 우주미+김소은, 차경순+반효정, 오복주+이미영",GnG 프로덕션,연출 윤재문 | 극본 박정란,http://www.imbc.com/broad/tv/drama/thousand,"천 번의 입맞춤, 우주영+서영희, 장우빈+지현우, 장우진+류진, 우주미+김소은, 차경순+반효정, 오복주+이미영",천 번의 입맞춤:3
mbc_three,세바퀴,KO,open,entertain,MBC,세바퀴,http://tv03.search.naver.net/nhnsvc?quality=8&size=190x150&q=http://sstatic.naver.net/keypage/image/contents/96/96194.jpg,SAT,MBC (토) 오후 11:00~ 방송중,23:00,,"이휘재, 김구라, 박미선","박성호, 성대현, 변기수, 신고은, 정아, 리지, 디셈버, 사미자, (8월 27일 출연)",,"기획 이응주 | 연출 박현석, 오윤환",http://www.imbc.com/broad/tv/ent/three,"세상을바꾸는퀴즈세바퀴, 세바퀴, 이휘재+김구라+박미선",세바퀴:2
mbc_urpretty,당신 참 예쁘다,KO,open,drama,MBC,일상의 힘과 드라마틱한 갈등구조가 빚어낸 개성 있는 캐릭터 플레이로...,http://tv03.search.naver.net/nhnsvc?quality=8&size=190x150&q=http://sstatic.naver.net/keypage/image/contents/135/135211.jpg,MON~FRI,MBC (월~금) 오전 07:50~ 방송중,19:50,,,"고유랑+윤세아, 박치영+김태훈, 변강수+현우성, 조안나+박탐희, 고만석+박인환, 김순이+이효춘",,연출 김우선 | 극본 오상희,http://www.imbc.com/broad/tv/drama/urpretty,"당신 참 예쁘다, 고유랑+윤세아, 박치영+김태훈, 변강수+현우성, 조안나+박탐희, 고만석+박인환, 김순이+이효춘",당신 참 예쁘다:2
mbc_wedding,우리 결혼했어요 Season3,KO,open,entertain,MBC,우리 결혼했어요 Season3,http://tv03.search.naver.net/nhnsvc?quality=8&size=190x150&q=http://sstatic.naver.net/keypage/image/contents/136/136082.jpg,SAT,MBC (토) 오후 05:15~ 방송중,17:55,,,"닉쿤, 빅토리아, 이장우, 은정, 김원준, 박소현, 데이비드 오, 권리세",,"CP 이민호 | 연출 제영재, 강궁",http://www.imbc.com/broad/tv/ent/wedding,"우리 결혼했어요, 우결, 닉쿤+빅토리아, 이장우+은정, 김원준+박소현, 데이비드오+권리세","@MBCWeGotMarried:2, 우리 결혼했어요:3, 우결:3"
sbs_baekdongsoo,무사 백동수,KO,open,drama,SBS,"조선 최고의 협객이자 풍운의 삶을 살았던 남자, 백동수! 백성의 마음...",http://tv03.search.naver.net/nhnsvc?quality=8&size=190x150&q=http://sstatic.naver.net/keypage/image/contents/144/144265.jpg,"MON,TUE","SBS (월, 화) 오후 09:55~ 방송중 (총 24부작)",21:55,,,"백동수+지창욱, 여운+유승호, 황진주+윤소이, 유지선+신현빈, 김광택+전광렬, 천+최민수","케이팍스, 소프트라인","연출 이현직, 김홍선 | 극본 권순규",http://tv.sbs.co.kr/baekdongsoo/,"무사 백동수, 백동수, 지창욱+무사, 여운+유승호, 무사+유승호, 황진주+윤소이, 유지선+신현빈, 김광택+전광렬, 천+최민수","@IMC_BAEKDONGSOO:2, 무사 백동수:3"
sbs_besideme,내 사랑 내곁에,KO,open,drama,SBS,따뜻한 세상을 만들어가는 리틀맘 도미솔의 고군분투기를 그린 드라마,http://tv03.search.naver.net/nhnsvc?quality=8&size=190x150&q=http://sstatic.naver.net/keypage/image/contents/138/138040.jpg,"SAT,SUN","SBS (토, 일) 오후 08:40~ 방송중",20:40,,,"도미솔+이소연, 이소룡+이재윤, 고석빈+온주완, 조윤정+전혜빈, 봉선아+김미숙, 최은희+김미경",GnG프로덕션,연출 한정환 | 극본 김사경,http://tv.sbs.co.kr/besideme/,"내 사랑 내곁에, 도미솔+이소룡, 이소연+이재윤, 도미솔+이소연, 이소룡+이재윤, 고석빈+온주완, 조윤정+전혜빈, 봉선아+김미숙, 최은희+김미경",내 사랑 내곁에:3
sbs_boss,보스를 지켜라,KO,open,drama,SBS,초짜 여비서가 초강력 불량 재벌 2세를 보스로 만나 벌어지는 전대미문...,http://tv03.search.naver.net/nhnsvc?quality=8&size=190x150&q=http://sstatic.naver.net/keypage/image/contents/150/150086.jpg,"SAT,SUN","SBS (수, 목) 오후 09:55~ 방송중 (총 16부작)",21:55,,,"차지현+지성, 노은설+최강희, 차무원+재중, 서나윤+왕지혜, 양하영+이희원, 이명란+하재숙",에이스토리,연출 손정현 | 극본 권기영,http://tv.sbs.co.kr/boss/,"보스를 지켜라, boss를 지켜라, 지성+최강희, 차지현+노은설, 차지현+지성, 노은설+최강희, 차무원+재중, 서나윤+왕지혜, 양하영+이희원, 이명란+하재숙","@SBS_BOSS:2, 보스를 지켜라:3, boss를 지켜라:1"
