week,born_this_way,judas,the_edge_of_glory,the_fame,c_born_this_way,c_judas,c_the_edge_of_glory,c_the_fame,o_chart_sum,c_chart_sum,total_tweet_count,total_user_count,positive_tweet_count,negative_tweet_count,positive_user_count,negative_user_count,positive_tweet_rate,negative_tweet_rate,positive_user_rate,negative_user_rate
2011-05-21,10,12,,1,0.1,0.083333333,,1,23,1.183333333,27278,16416.42857,10517.14286,2924,7082.428571,2438.857143,0.385554031,0.107192609,0.431423226,0.148561981
2011-05-28,10,11,,1,0.1,0.090909091,,1,22,1.190909091,27813.57143,17479.14286,11590.42857,2755.142857,8236.142857,2249.142857,0.416718457,0.0990575,0.471198326,0.12867581
2011-06-04,9,11,,1,0.111111111,0.090909091,,1,21,1.202020202,26602.85714,15497,10440.14286,2410.428571,6873.857143,1939.428571,0.392444421,0.090607883,0.443560505,0.125148646
2011-06-11,11,11,,2,0.090909091,0.090909091,,0.5,24,0.681818182,24532.71429,13984.42857,9714.571429,2450.714286,6219.571429,1935,0.395984371,0.099895766,0.444749773,0.138368185
2011-06-18,11,25,8,2,0.090909091,0.04,0.125,0.5,46,0.755909091,21253,11841.28571,8271.142857,2015.428571,5320,1529,0.38917531,0.09483031,0.449275537,0.129124492
2011-06-25,15,35,7,2,0.066666667,0.028571429,0.142857143,0.5,59,0.738095238,26024.71429,14617,10043,2587.857143,6527.714286,2052,0.385902411,0.099438446,0.446583723,0.140384484
2011-07-02,15,35,4,3,0.066666667,0.028571429,0.25,0.333333333,57,0.678571429,22704.71429,12217.57143,8365.714286,2534.571429,5207.142857,1995,0.368457149,0.111631946,0.426201139,0.163289408
2011-07-09,19,35,4,4,0.052631579,0.028571429,0.25,0.25,62,0.581203008,25142.14286,12784.28571,9887.428571,2299.285714,5914.857143,1792.857143,0.393261172,0.091451462,0.46266622,0.140239133
