week,till_the_world_ends,femme_fatale,c_till_the_world_ends,c_femme_fatale,chart_sum,total_tweet_count,total_user_count,positive_tweet_count,negative_tweet_count,positive_user_count,negative_user_count,positive_tweet_rate,negative_tweet_rate,positive_user_rate,negative_user_rate
2011-05-21,2,20,0.5,0.05,0.55,8616,5087,3025.142857,649,1787.142857,550.5714286,0.351107574,0.075324977,0.351315679,0.108231065
2011-05-28,1,29,1,0.034482759,1.034482759,10777.14286,6470,3703.571429,983.7142857,2475.714286,843.5714286,0.343650583,0.091277837,0.382645176,0.130381983
2011-06-04,4,34,0.25,0.029411765,0.279411765,7986.428571,4282.285714,2124.428571,650.5714286,1442.142857,533.1428571,0.26600483,0.081459619,0.336769416,0.1244996
2011-06-11,6,34,0.166666667,0.029411765,0.196078431,7830.428571,4738.571429,2594.285714,668.5714286,1889,571,0.331308266,0.085381205,0.398643352,0.120500452
2011-06-18,6,37,0.166666667,0.027027027,0.193693694,7544.857143,4070.857143,2242.714286,724.1428571,1453.142857,567.1428571,0.297250729,0.095978339,0.356962381,0.139317799
2011-06-25,18,23,0.055555556,0.043478261,0.099033816,12618.71429,7631.571429,4555.714286,1535,3158.571429,1305.428571,0.361028405,0.121644723,0.413882181,0.171056326
2011-07-02,29,59,0.034482759,0.016949153,0.051431911,7236.285714,4530.714286,2501,739.2857143,1747.142857,620.8571429,0.3456193,0.102163699,0.385621945,0.13703295
2011-07-09,30,43,0.033333333,0.023255814,0.056589147,7345.428571,4258.142857,2895.428571,660.4285714,1788.428571,568.2857143,0.394181026,0.089910148,0.420002013,0.133458584
