program_id,start_date,end_date,site,duration_type,post_count,comment_count,post_user_count,comment_user_count,metoo_count,positive_post_count,negative_post_count,positive_comment_count,negative_comment_count,positive_post_user_count,negative_post_user_count,positive_comment_user_count,negative_comment_user_count,score,rank,register_date,update_date,positive_post_rate,negative_post_rate,positive_post_user_rate,negative_post_user_rate,negative_positive_post_rate,negative_positive_post_user_rate,nation,category,channel,air_cycle
sbs_besideme,20110919,20110925,me2day,weekly,125,503,100,1,98,,,,,,,,,0.117031186,15,2011-09-26 16:54,2011-09-26 16:54,,,,,,,KO,drama,SBS,"SAT,SUN"
sbs_besideme,20110919,20110925,twitter,weekly,10,,10,,,,,,,,,,,10,23,2011-09-26 16:59,2011-09-26 16:59,,,,,,,KO,drama,SBS,"SAT,SUN"
sbs_boss,20110815,20110821,me2day,weekly,931,52941,718,42,390,113,10,2,3,105,10,2,3,0.15688255,3,2011-09-26 16:54,2011-09-26 16:54,0.1214,0.0107,0.1462,0.0139,0.0885,0.0952,KO,drama,SBS,"SAT,SUN"
sbs_boss,20110822,20110828,me2day,weekly,938,7416,712,70,544,99,7,5,1,90,7,5,1,0.157949168,1,2011-09-26 16:54,2011-09-26 16:54,0.1055,0.0075,0.1264,0.0098,0.0707,0.0778,KO,drama,SBS,"SAT,SUN"
sbs_boss,20110905,20110911,me2day,weekly,164,5000,139,21,165,17,2,5,1,16,2,4,1,0.119210985,6,2011-09-26 16:54,2011-09-26 16:54,0.1037,0.0122,0.1151,0.0144,0.1176,0.125,KO,drama,SBS,"SAT,SUN"
sbs_boss,20110919,20110925,me2day,weekly,655,23395,398,104,149,,,,,,,,,0.142565393,3,2011-09-26 16:54,2011-09-26 16:54,,,,,,,KO,drama,SBS,"SAT,SUN"
sbs_boss,20110919,20110925,twitter,weekly,2760,,1852,,,,,,,,,,,2760,4,2011-09-26 16:59,2011-09-26 16:59,,,,,,,KO,drama,SBS,"SAT,SUN"
sbs_dangsin,20110815,20110821,me2day,weekly,59,28,37,,13,,1,,,,1,,,0.113477321,23,2011-09-26 16:54,2011-09-26 16:54,,0.0169,,0.027,,,KO,drama,SBS,MON~FRI
sbs_dangsin,20110822,20110828,me2day,weekly,48,41,31,,31,1,,,,1,,,,0.113038027,23,2011-09-26 16:54,2011-09-26 16:54,0.0208,,0.0323,,,,KO,drama,SBS,MON~FRI
sbs_dangsin,20110905,20110911,me2day,weekly,58,37,30,21,13,,,1,,,,1,,0.113429601,14,2011-09-26 16:54,2011-09-26 16:54,,,,,,,KO,drama,SBS,MON~FRI
sbs_dangsin,20110919,20110925,me2day,weekly,79,178,33,8,25,,,,,,,,,0.114488805,17,2011-09-26 16:54,2011-09-26 16:54,,,,,,,KO,drama,SBS,MON~FRI
sbs_dangsin,20110919,20110925,twitter,weekly,341,,245,,,,,,,,,,,341,16,2011-09-26 16:59,2011-09-26 16:59,,,,,,,KO,drama,SBS,MON~FRI
sbs_happytogether,20110815,20110821,me2day,weekly,192,519,146,,72,13,4,,,12,4,,,0.120104744,15,2011-09-26 16:54,2011-09-26 16:54,0.0677,0.0208,0.0822,0.0274,0.3077,0.3333,KO,entertain,KBS2,THU
sbs_happytogether,20110822,20110828,me2day,weekly,112,8866,76,,56,10,1,,,10,1,,,0.116211032,16,2011-09-26 16:54,2011-09-26 16:54,0.0893,0.0089,0.1316,0.0132,0.1,0.1,KO,entertain,KBS2,THU
sbs_happytogether,20110905,20110911,me2day,weekly,97,358,56,24,9,4,,6,,4,,5,,0.115271653,8,2011-09-26 16:54,2011-09-26 16:54,0.0412,,0.0714,,,,KO,entertain,KBS2,THU
sbs_happytogether,20110919,20110925,me2day,weekly,170,242,116,25,15,,,,,,,,,0.118783755,14,2011-09-26 16:54,2011-09-26 16:54,,,,,,,KO,entertain,KBS2,THU
