"","tf"
"좋다",5
"즐겁다",3
"멋지다",2
"부럽다",2
"아프",2
"웃다",2
"좋아",2
"좋아하다",2
"행복",2
"기쁘다",1
"무서",1
"무섭",1
"미치다",1
"보고싶다",1
"보고싶어",1
"슬프",1
"싫다",1
"쓸쓸",1
"웃겨",1
"웃기다",1
"웃음",1
"재미없",1
"후회",1
