"","tf"
"달인",218
"헬스걸",106
"불편",80
"진실",78
"공개",58
"변화",54
"불편한진실",39
"사람",32
"김병만",30
"아니다",29
"생활",24
"생각",23
"개그맨",22
"만나다",22
"놀랍다",21
