"","V1"
"공주의남자",142
"smile",124
"exclamation",104
"cry",88
"question",76
"문채원",36
"박시후",35
"다시보기",33
"수양대군",33
"ost",27
"드라마",21
"love",19
"박정민",15
"kbs",14
"김승유",11
