"","V1"
"smile",439
"사랑",141
"cry",116
"question",113
"exclamation",93
"love",49
"사람",47
"다시보기",42
"그대",36
"노래",31
"좋다",28
"묘한매력",27
"고맙다",26
"아니다",23
"지금",22
"널다",21
"닭잡고삐약",21
"언제",21
"정말",21
"노랗다",19
"행복",18
"싶다",16
"by갅지틳s쾌",15
"by갅지틳s쾌남",15
"많다",15
"언제나",15
"오늘",15
"by간g시크",14
"이제",14
"한율",14
"한율하",14
"헬로",14
