"","V1"
"smile",1295
"cry",722
"exclamation",652
"question",504
"종영",159
"강호동",156
"개월",143
"하차",98
"이승기",88
"love",85
"폐지",82
"좋다",80
"오늘",68
"결정",65
"이제",65
"아쉽다",58
"시즌",57
"오다",57
"멤버",56
"진짜",56
"전원",53
