"","V1"
"smile",20
"cry",15
"question",14
"exclamation",7
"광개토",7
"탑밴드",3
"폿카췹",3
"광개토대왕릉비",2
"글보러가기",2
"운명론",2
"죽일놈",2
"화이특",2
