"","V1"
"내집장",10
"내집장만",10
"무료다시보기",10
"끝나다",2
"짓다",2
"mbc",1
"question",1
"smile",1
"개인적",1
"그거",1
"그러게",1
"그러게요",1
"기다리는건",1
"나가수",1
"나가수를",1
"뒤에놔서",1
"떨어지다",1
"보고",1
"빨다",1
"스스로",1
"시청률",1
"앞에놓고",1
"일밤은",1
"지루",1
"직접",1
"집다",1
"하고있는걸까",1
