"","V1"
"smile",6
"무한도전",5
"exclamation",4
"americano",2
"speak",2
"닮은꼴",2
"박명수",2
"불장난춤",2
"지난주",2
"americano는",1
"cry",1
"mc유",1
"question",1
"나올때",1
"나올때는",1
"못생긴팀",1
"무한도전닮은꼴",1
"봐도봐",1
"봐도봐도",1
"쇼프로",1
"언제나옴",1
"오마이갓",1
"웃음코드",1
"있길바래",1
"있어서리",1
"정준하",1
"쪼아송",1
"테마송",1
"힘을보여줘",1
