"","cry","exclamation","kbs","love","ost","question","smile","공주의남자","김승유","다시보기","드라마","문채원","박시후","박정민","수양대군"
"1",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
"4",0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
"5",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"9",4,1,0,0,0,0,1,1,0,0,0,0,1,0,0
"10",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"11",0,2,0,0,0,0,4,1,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,1,1,0,0,0,2,1,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"18",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"19",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
"23",1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"24",1,0,0,0,0,0,0,1,0,0,0,2,0,0,0
"25",1,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
"29",0,1,0,1,0,1,2,1,0,0,0,0,0,0,0
"30",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"31",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"33",2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"34",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"35",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"36",0,2,0,0,0,1,0,1,0,0,0,1,0,0,0
"37",0,0,0,0,0,0,2,1,0,0,1,0,0,0,0
"38",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
"40",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"44",2,1,0,0,0,0,2,1,0,0,0,0,0,0,0
"45",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"47",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"48",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"49",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"50",0,3,0,1,0,0,1,1,0,0,0,1,0,0,0
"51",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"53",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"54",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"55",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"56",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
