"","V1"
"smile",682
"question",268
"exclamation",260
"cry",163
"결혼",154
"우결",150
"하(다)",137
"우리",121
"나(다)",91
"love",85
"있(다)",67
"보(다)",66
"우리결혼",53
"사랑",50
"좋(다)",41
"진짜",41
"오늘",39
"사(다)",35
