"","tf"
"입맞추다",44
"뉴스타운",10
"mbc",7
"두준이",7
"윤두준",7
"제작발표회",6
"지현우",6
"두준",5
"본방사수",4
"오빠",4
"주말연속극",4
"축구선수",4
"두준오빠",3
"두준이가",3
"볼꺼",3
"볼꺼임",3
"새다",3
"서영희",3
"엄마",3
"지현",3
"첫방",3
"첫방송",3
"출연",3
"극본",2
"기대",2
"김소은",2
"남지현",2
"널다",2
"당신",2
"두준이오빠",2
"드디어",2
"디비디",2
"디비디로",2
"박정란",2
"방문",2
"방송",2
"블로그",2
"연속극",2
"연출",2
"오작교형제",2
"운명",2
"윤두준씨",2
"윤재문",2
"주말",2
"천번에입맞춤",2
"촬영장",2
"특별출연",2
"흥하다",2
"beast",1
"gng",1
"kisses",1
"lt",1
"mbc주말연속극",1
"minute",1
"st",1
"teaser",1
"thousand",1
"yufit",1
"감격",1
"갖꾸왓씁돠",1
"개다",1
"갤레리",1
"계백",1
"계속",1
"고민되네",1
"고정",1
"공주",1
"광개토태왕",1
"궁금한거",1
"그거",1
"그건",1
"그사이",1
"그사이로",1
"근데두준오빠ㅏ",1
"기대다",1
"기대해달라",1
"기분망쳤어",1
"기분좋게",1
"꺄꺄꺆꺄꺄꺄꺄꺄꺄꺄꺄ㅑ꺄꺄꺄꺄꺄꺄ㅑ꺄꺄꺄꺄꺄꺄꺄꺄꺄꺄꺄꺄꺄ㅑ꺄ㅑ꺄ㅑ꺄꺄꺄ㅏ꺄꺄꺄꺄꺄꺄꺄꺄꺄꺄꺄꺄꺄ㅑㄲ",1
"꼬오오옥",1
"끼고잇엇다",1
"끼어들어가고싶",1
"끼어들어가고싶은",1
"나온닷",1
"나올까tagquestion",1
"나와요tagsmile",1
"나왓닼",1
"날이잖",1
"날이잖아",1
"남자",1
"남지언니",1
"남편",1
"남편의",1
"내사",1
"내사랑내곁에vs천번",1
"내일몽땅",1
"내일할듯",1
"논현동",1
"뉴스",1
"다들",1
"다시보기",1
"다정",1
"다투다",1
"달콤",1
"당신이",1
"대결",1
"대기타는중",1
"데뷔전",1
"도금",1
"도무지",1
"동영상은많네",1
"두구두구두구",1
"두근두근",1
"두준님",1
"두준님이",1
"두준두준윤두준",1
"두준오빠가축구좋아하시는건어찌아시",1
"두준오빠한테",1
"두준이좋아하궁",1
"드리블",1
"등장",1
"또나와",1
"또나와랑",1
"라도",1
"라인",1
"류진",1
"리더",1
"많다",1
"망사패션",1
"맞는것",1
"맞는것인가",1
"매진",1
"맨날",1
"멋있다잉",1
"멋있당",1
"메모리아홀",1
"멜로상대",1
"며느리",1
"명월",1
"못봤어",1
"못봤으니깐",1
"못봤지만",1
"몽땅도이제",1
"무사",1
"무진장",1
"물결",1
"뭐지뭐였더라싀바tagquestion아ㅏㅏ",1
"뭘봐",1
"뭘봐야",1
"미니",1
"미다",1
"미쓰",1
"미안해서",1
"바랍니다저희",1
"받다",1
"방송되네요tagsmile",1
"배우",1
"백동수",1
"변신",1
"보고있는중",1
"보는눈",1
"보는눈있네",1
"보스",1
"본문",1
"본방사수하신분",1
"볼려",1
"볼려고",1
"볼수",1
"봐야",1
"봐야되는데",1
"봐야디",1
"봐주다",1
"봤나요tagquestion",1
"봤어용",1
"부터",1
"분tagquestion어쨋든닥본사",1
"불굴",1
"뷰티",1
"뷰티가",1
"브이라인팩",1
"비스트팬질",1
"비스트팬질한지",1
"빠쉐",1
"사랑",1
"사랑부탁",1
"사이",1
"사진",1
"상큼",1
"생각",1
"서울",1
"선수",1
"선택할수",1
"스파이",1
"슬리밍케어",1
"시작",1
"심사",1
"심정",1
"심형탁",1
"십화남은건가",1
"ㅇㅏ",1
"아오",1
"아이",1
"아이귀요미여기서도축구를하고잇다닝",1
"아주",1
"아줌마",1
"안녕",1
"안타까워",1
"안타깝다",1
"안하다",1
"알려주세효",1
"앞두다",1
"애정만만세",1
"어tagquestion오늘",1
"얼렁",1
"에스라인팩",1
"여인",1
"여자",1
"역시",1
"연기파",1
"연우진",1
"열리다",1
"예고편",1
"예쁘다",1
"오늘남지현",1
"오디션",1
"오작교조",1
"오작교조고",1
"오작교형제들마져볼껄",1
"오후",1
"올라왓다",1
"와전",1
"완전멋",1
"완전멋있다",1
"왜이렇게하얀와이셔츠하나만입어도훈남쀨이폴폴",1
"외도",1
"우리두준오빠",1
"우리집",1
"우리햇살같은존재남지현언니가있찌ㅣ",1
"우와아아ㅏ",1
"운동",1
"원피스",1
"유니폼",1
"유명",1
"유핏",1
"윤기준",1
"윤기준으로변신한모습",1
"윤두준vs류수영",1
"윤두준남지현",1
"윤두준남지현천번의입맞춤흥해라",1
"윤두준씨는",1
"윤두준씨도",1
"윤두준에",1
"윤두준오빠",1
"윤두준카메옼",1
"응원",1
"이순재",1
"인물관계도에는왜우리두두오빠가써있지않은거",1
"일본팬",1
"입다",1
"입맞춤gt",1
"입맞춤보는데",1
"입맞춤하네",1
"입맞춤하는",1
"입맞춤하는날",1
"잠들다",1
"장수아",1
"장우진",1
"재미나다",1
"재밋어",1
"재밌는데",1
"잼닼",1
"저희들도본방사수할테",1
"제작",1
"제작발표회갑니",1
"젭알",1
"좋겟다",1
"좋겠당",1
"좋다",1
"좋은데",1
"좋은데요",1
"주년되",1
"주년되는",1
"주원",1
"지키다",1
"지현언니",1
"지현우가",1
"진정",1
"진쯔ㅏ",1
"집중케어",1
"징짜징짜",1
"차다",1
"차도남두준을탄생",1
"차리다",1
"차림",1
"차이",1
"차화연",1
"찬노",1
"참석",1
"창현씨엔지",1
"채널",1
"채다",1
"천번의입맞춤닥본사안하믄",1
"천번의입맞춤얼마안남았네",1
"천번의입맞춤오늘",1
"천번의입맞춤윤두준출현",1
"천번의입맞춤인가",1
"천번의입맞춤작가님사랑",1
"첫방이라",1
"첫방이라니",1
"첫회",1
"체질인가봐",1
"초tagquestion그정도나옴",1
"촬영",1
"촬영한거",1
"촬영현장",1
"축구선수tagquestion",1
"축구선수래",1
"축복스러운날",1
"출발",1
"치금엠뷔씨에하는드라마에윤두준축구하는걸로카메오출연해옇",1
"카메오",1
"캡처",1
"캡처해서",1
"컨벤센헤리츠",1
"컨벤션",1
"쿠키",1
"키스장면",1
"토도우",1
"토렌트다운",1
"티비앞으롷",1
"팍씨",1
"팔짱",1
"포미닛",1
"포미닛도",1
"포진",1
"포토",1
"프로덕션",1
"하신대",1
"하신대요",1
"하지",1
"하하하",1
"하핳",1
"학동",1
"할거죠tagquestion",1
"햇음",1
"향기",1
"헐헐헐헐헐",1
"헤리츠",1
"헿헿헿",1
"협찬",1
"화려",1
"후훟",1
