"","V1"
"좋다",17
"슬프다",8
"재미있",7
"멋지다",6
"보고싶다",4
"웃기다",3
"좋아",3
"좋아하다",3
"기쁘다",2
"보고싶어",2
"존나",2
"행복",2
"막장",1
"미워",1
"미치다",1
"부럽다",1
"싫다",1
"ㅆㅂ",1
"아쉬",1
"안습",1
"처절",1
"후회",1
