"","tf"
"박정현",131
"노래",85
"좋다",67
"김범수",65
"윤도현",61
"yb",59
"명예졸업",51
"경연",50
"박선주",50
"사람",50
"나도",43
"듣다",38
"윤종신",38
"1위",37
"그것",34
"아니다",34
"탈락",32
"mc",31
"김조한",31
"윤민수",31
"합류",30
"추천곡",29
"청중평가단",27
"72",26
"바비킴",26
"가사",25
"듣기",24
"부르다",24
"타다",24
"세상",23
"정말",23
"최고",23
"김조",22
"싶다",22
"무대",21
"순위",21
"진짜",21
"mbc",20
"감동",20
"좋아하다",20
"그리다",18
"생각",18
"출연",18
"많다",17
"사람이",17
"내세",16
"완전",15
"박정현이",14
"아쉽다",14
"역시",14
"기대",13
"원문",13
