"","V1"
"exclamation",193
"cry",192
"smile",111
"정용화",71
"박신혜",62
"넌내게반",57
"love",56
"question",47
"이규원",37
"드라마",33
"넌내게",32
"넌내반",29
"ost",21
"해피엔딩",20
"마지막",19
"마지막회",18
"헤어지",13
"본방사수",10
