"","V1"
"내사랑내곁",61
"smile",45
"내곁에",43
"다시보기",42
"love",36
"exclamation",33
"question",18
"cry",14
"언제나",14
"그사람",11
"바라보",11
"아름답",8
"이렇게",8
"토도우",6
