"","V1"
"smile",682
"question",268
"exclamation",260
"cry",163
"결혼",154
"우결",150
"우리",121
"love",85
"우리결혼",53
"사랑",50
"좋다",41
"진짜",41
"오늘",39
"사다",35
"아니다",32
"언니",32
"없다",31
"많다",30
"사람",29
"빅토리아",27
"싶다",26
"근데",24
"오다",22
