"","V1"
"smile",108
"exclamation",69
"보스를지켜",56
"question",42
"love",37
"cry",35
"최강희",26
"드라마",23
"지켜라",10
"김재중",9
"뇌구조",9
"차지헌",8
"다시보기",7
"무느님",6
"본방사수",6
"차무원",6
