"","V1"
"smile",222
"exclamation",74
"question",63
"cry",55
"남자의자격",55
"꼬꼬면",35
"청춘합창단",35
"해피선데",27
"해피선데이",27
"이경규",16
"김태원",14
"뽀족이",11
