"","V1"
"smile",1375
"cry",537
"exclamation",490
"question",354
"love",81
"문채원",81
"성연",80
"박시후",79
"onion",69
"ost",69
"dolphin",66
"다시보기",66
"수양대군",64
"보스",58
"좋다",47
