"","V1"
"smile",20
"cry",15
"question",14
"exclamation",7
"시다",7
"담덕",4
"태왕",4
"탑밴드",3
"폿카췹",3
"광개토대왕릉비",2
"글보러가기",2
"담망",2
"머리",2
"아빠",2
"역시",2
"외다",2
"우리",2
"운명론",2
"죽일놈",2
"하민",2
"화이특",2
