"","V1"
"smile",294
"exclamation",119
"입맞추다",112
"question",61
"cry",51
"윤두준",40
"지현우",23
"다시보기",21
"서영희",21
"류진",20
"love",19
"김소은",18
"오빠",17
"it윤두준",15
"류채아",15
"순수쪼코",15
"윤기준",15
"it장현승",14
"세컨",12
"한성",12
"두준이",10
"본방사수",10
"어제",10
"축구선수",10
"두준",9
"완전",9
