"","V1"
"백동수",103
"무사백동수",69
"exclamation",63
"smile",63
"cry",26
"question",20
"유승호",15
"다시보기",13
"드라마",12
"ost",9
"김태우",7
"love",6
"sbs",6
"외로운별님",6
