program_id,start_date,end_date,nation,duration_type,watch_rate,rank,register_date,update_date,category,channel,air_cycle
nbc_americagottalent,20110912,20110918,US,weekly,0.28,1,,,,NBC,"TUE,WED"
nbc_americagottalent,20110919,20110925,US,weekly,0,99,,,,NBC,"TUE,WED"
sbs_baekdongsoo,20110815,20110821,KO,weekly,0.187,3,,,drama,SBS,"MON,TUE"
sbs_baekdongsoo,20110822,20110828,KO,weekly,0.178,3,,,drama,SBS,"MON,TUE"
sbs_baekdongsoo,20110905,20110911,KO,weekly,0.178,4,,,drama,SBS,"MON,TUE"
sbs_baekdongsoo,20110912,20110918,KO,weekly,0.161,8,,,drama,SBS,"MON,TUE"
sbs_baekdongsoo,20110919,20110925,KO,weekly,0.185,4,,,drama,SBS,"MON,TUE"
sbs_besideme,20110815,20110821,KO,weekly,0.145,12,,,drama,SBS,"SAT,SUN"
sbs_besideme,20110822,20110828,KO,weekly,0.136,12,,,drama,SBS,"SAT,SUN"
sbs_besideme,20110905,20110911,KO,weekly,0.137,11,,,drama,SBS,"SAT,SUN"
sbs_besideme,20110912,20110918,KO,weekly,0.153,10,,,drama,SBS,"SAT,SUN"
sbs_besideme,20110919,20110925,KO,weekly,0.147,10,,,drama,SBS,"SAT,SUN"
sbs_boss,20110815,20110821,KO,weekly,0.159,7,,,drama,SBS,"SAT,SUN"
sbs_boss,20110822,20110828,KO,weekly,0.148,10,,,drama,SBS,"SAT,SUN"
sbs_boss,20110905,20110911,KO,weekly,0.136,13,,,drama,SBS,"SAT,SUN"
sbs_boss,20110912,20110918,KO,weekly,0.136,12,,,drama,SBS,"SAT,SUN"
sbs_boss,20110919,20110925,KO,weekly,0.132,13,,,drama,SBS,"SAT,SUN"
sbs_dangsin,20110815,20110821,KO,weekly,0.132,14,,,drama,SBS,MON~FRI
sbs_dangsin,20110822,20110828,KO,weekly,0.133,14,,,drama,SBS,MON~FRI
sbs_dangsin,20110905,20110911,KO,weekly,0.138,10,,,drama,SBS,MON~FRI
sbs_dangsin,20110912,20110918,KO,weekly,0.138,11,,,drama,SBS,MON~FRI
sbs_dangsin,20110919,20110925,KO,weekly,0.143,11,,,drama,SBS,MON~FRI
sbs_happytogether,20110815,20110821,KO,weekly,0.137,13,,,entertain,KBS2,THU
sbs_happytogether,20110822,20110828,KO,weekly,0.121,15,,,entertain,KBS2,THU
sbs_happytogether,20110905,20110911,KO,weekly,0.125,15,,,entertain,KBS2,THU
sbs_happytogether,20110912,20110918,KO,weekly,0.125,14,,,entertain,KBS2,THU
sbs_happytogether,20110919,20110925,KO,weekly,0.102,18,,,entertain,KBS2,THU
sbs_newsunday,20110815,20110821,KO,weekly,0.098,22,,,entertain,SBS,SUN
sbs_newsunday,20110822,20110828,KO,weekly,0.082,21,,,entertain,SBS,SUN
sbs_newsunday,20110905,20110911,KO,weekly,0.084,22,,,entertain,SBS,SUN
sbs_newsunday,20110912,20110918,KO,weekly,0.079,22,,,entertain,SBS,SUN
sbs_newsunday,20110919,20110925,KO,weekly,0.143,12,,,entertain,SBS,SUN
sbs_scent,20110815,20110821,KO,weekly,0.182,4,,,drama,SBS,"SAT,SUN"
sbs_scent,20110822,20110828,KO,weekly,0.166,8,,,drama,SBS,"SAT,SUN"
sbs_scent,20110905,20110911,KO,weekly,0.149,9,,,drama,SBS,"SAT,SUN"
sbs_starking,20110815,20110821,KO,weekly,0.111,17,,,entertain,SBS,SAT
sbs_starking,20110822,20110828,KO,weekly,0.079,24,,,entertain,SBS,SAT
sbs_starking,20110905,20110911,KO,weekly,0.108,18,,,entertain,SBS,SAT
sbs_starking,20110912,20110918,KO,weekly,0.09,19,,,entertain,SBS,SAT
sbs_starking,20110919,20110925,KO,weekly,0.099,19,,,entertain,SBS,SAT
sbs_strongheart,20110815,20110821,KO,weekly,0.108,18,,,entertain,SBS,TUE
sbs_strongheart,20110822,20110828,KO,weekly,0.112,18,,,entertain,SBS,TUE
sbs_strongheart,20110905,20110911,KO,weekly,0.116,17,,,entertain,SBS,TUE
sbs_strongheart,20110912,20110918,KO,weekly,0.084,20,,,entertain,SBS,TUE
sbs_strongheart,20110919,20110925,KO,weekly,0.096,20,,,entertain,SBS,TUE
