"","V1"
"문채원",58
"박시후",56
"수양대군",51
"ost",45
"다시보기",44
"세령",38
"보스",31
"승유",31
"사랑",27
"김승유",22
"진짜",22
"그립다",20
"박정민",17
"널다",15
"연기",15
"kbs",14
"넌내반",14
"좋다",14
"지키다",14
"세령이",13
"시청률",13
"정말",13
"죽다",13
"단종",12
"수목",12
"아니다",12
"완전",12
"김종서",11
"많다",11
"백동수",11
"기대",10
"백지영",10
"지켜라",10
"계백",9
"금성대군",9
"분노",9
"수목드라마",9
"신다",9
"싶다",9
"차다",9
"화이팅",9
"그리다",8
"로미오",8
"보스를지켜",8
"슬프다",8
"재밌다",8
"정체",8
"줄리엣",8
