"","tf"
"널다",507
"넌내게반",317
"정용화",188
"박신혜",170
"끝나다",165
"이신",139
"넌내반",111
"이규원",86
"ost",78
"마지막회",77
"해피엔딩",67
"마지막",66
"좋다",51
"사랑",46
"규원",44
"반했어가",41
"다시보기",40
"아쉽다",40
"막방",39
"슬프다",37
"진짜",37
"종영",33
"결말",32
"본방사수",31
"헤어지다",30
"넌내게반했어가",29
"노래",29
"용화",29
"울다",28
"많다",26
"보스",26
"시청률",25
"해피엔딩으",25
"special",24
"신다",24
"이신이",24
"달콤",23
"씨엔블루",23
"강민혁",22
"완전",22
"노랗다",21
"정말",21
"지키다",21
"예고",19
"둘리커플",18
"제발",18
"남자",16
"눈물",16
"방송",16
"신이",16
"어떻다",16
"재미",15
"좋아하다",15
"mbc",14
"수고",14
"여러분",14
"키스",14
"그동안",13
"내사랑",13
"녹아버렸어",13
"시청",13
"예고편",13
"이번주",13
