"","tf"
"좋다",23
"웃기다",15
"웃다",14
"싫다",9
"미치다",7
"아프",6
"웃음",5
"좋아하다",5
"두려",4
"멋지다",4
"우울",3
"좋아",3
"걱정",2
"무서",2
"무섭",2
"부럽다",2
"슬프다",2
"외롭다",2
"원망",2
"즐겁다",2
"행복",2
"후회",2
