"","tf"
"좋다",47
"좋아",15
"막장",13
"불쌍",13
"웃기다",10
"미치다",8
"속상",8
"웃다",8
"슬프다",7
"존나",7
"좋아하다",7
"재미있",5
"무섭",4
"미워",4
"보고싶어",4
"재미없",4
"싫다",3
"아프",3
"걱정",2
"보고싶다",2
"서글프다",2
"아쉬",2
"웃음",2
"원망",2
"화나다",2
