"","tf"
"좋다",18
"무섭",7
"슬프다",7
"멋지다",6
"불쌍",6
"재미있",6
"좋아하다",5
"보고싶다",4
"막장",3
"슬픔",3
"아프",3
"웃기다",3
"존나",3
"좋아",3
"기쁘다",2
"두려",2
"무서",2
"슬프",2
"싫다",2
"행복",2
"걱정",1
"미워",1
"미치다",1
"보고싶어",1
"부럽다",1
"ㅆㅂ",1
"아쉬",1
"안습",1
"외롭다",1
"우울",1
"처절",1
"후회",1
