"","tf"
"다시보기",21
"무료다시보기",14
"이서진",13
"효민",13
"의자왕",12
"백동수",10
"은고",10
"무사백동수",9
"pooqmbc",8
"송지효",8
"의자",8
"초영",8
"무사",7
"재미",7
"전투신",7
"효민이",7
"공주",6
"많다",6
"뭔가",6
"조재현",6
"명월",5
"사택비",5
"진짜",5
"진태현",5
"mbc",4
"ost",4
"vs",4
"계백보러",4
"군사",4
"그렇다",4
"방송",4
"보스",4
"사랑",4
"스파이명월",4
"시청률",4
"아역",4
"언니",4
"여러분",4
"연기",4
"완전",4
"우리",4
"월화드라마",4
"이현우",4
"재밌어",4
"출연",4
"토도우",4
"플짤",4
"효미",4
"효미니",4
"ㄱㄱㄱㄱㄱ",3
"가족",3
"고화질",3
"그리다",3
"김유신",3
"나가다",3
"다하다",3
"담주",3
"대하다",3
"만들다",3
"무료",3
"백제",3
"백청강",3
"보기",3
"뷔페",3
"비법은tagquestion",3
"사극",3
"송지효에",3
"스파이",3
"아니다",3
"양파",3
"언제",3
"영웅",3
"웃기다",3
"월화",3
"의자왕이",3
"투입",3
"티아",3
"티아라",3
