"","tf"
"인순이",223
"인순",195
"아버지",134
"노래",112
"윤민수",78
"박정현",63
"사랑",60
"좋다",57
"바비킴",54
"나도",45
"듣다",45
"1위",41
"김범수",41
"정말",40
"사람",32
"진짜",30
"부르다",28
"생각",28
"자우림",26
"듣기",25
"역시",19
"임재범",19
"출연",19
"경연",17
"인순이님",17
"거다",16
"서바이벌",16
"아직",15
"모르다",14
"차다",12
"yb",10
"노래방",8
"축하",8
"지나다",6
