"","tf"
"좋다",16
"좋아",7
"멋지다",4
"좋아하다",4
"행복",4
"슬프다",3
"아쉬",3
"재미있",3
"보고싶어",2
"부럽다",2
"슬프",2
"싫다",2
"우울",2
"웃다",2
"즐겁다",2
"걱정",1
"무서",1
"반가",1
"보고싶다",1
"슬픔",1
"웃기다",1
"웃음",1
"존나",1
